U.S. metropolitan areas,13882335,14481568,14963370,15621759,16280446,16802781,.......
"Abilene, TX","6,039","6,397","6,922","7,454","6,972","6,752",253
"Akron, OH",29445,30011,31308,33461,35365,37300,75
"Albany, GA","4,979","5,127","5,248","5,173","5,099","5,124",313
"Albany, OR",3385,3530,3559,3629,3772,4027,351
"Albany-Schenectady-Troy, NY","44,112","45,731","47,094","48,563","50,910","52,339",57
"Albuquerque, NM",38117,38955,37897,39805,41561,43250,64
"Alexandria, LA","5,341","5,435","5,483","5,602","5,650","6,106",271
"Allentown-Bethlehem-Easton, PA-NJ",33142,33995,35624,39132,41116,42700,65
"Altoona, PA","4,706","4,778","4,928","5,096","5,314","5,371",299
"Amarillo, TX",11763,12025,12442,12954,12825,13009,173
"Ames, IA","3,939","4,416","4,429","4,618","4,871","5,021",318
"Anchorage, AK",30312,31460,31027,30233,28476,27280,95
"Ann Arbor, MI","19,445","19,826","20,260","20,175","21,473","22,010",114
"Anniston-Oxford-Jacksonville, AL",3865,3823,3690,3729,3755,3832,358
"Appleton, WI","10,395","10,758","10,801","11,339","12,002","12,434",180
"Asheville, NC",14372,14710,15280,16228,17302,18222,133
"Athens-Clarke County, GA","6,967","7,234","7,366","7,686","8,271","8,702",220
"Atlanta-Sandy Springs-Roswell, GA",280675,291483,307873,326556,344590,363768,10
"Atlantic City-Hammonton, NJ","12,507","12,653","12,770","12,771","12,567","12,751",177
"Auburn-Opelika, AL",3975,4177,4328,4607,4856,5193,309
"Augusta-Richmond County, GA-SC","20,507","21,010","21,158","21,905","22,834","23,398",108
"Austin-Round Rock, TX",96399,103513,111720,120494,127583,135010,27
"Bakersfield, CA","34,652","36,902","38,035","39,489","36,466","35,162",78
"Baltimore-Columbia-Towson, MD",158154,162776,167270,173054,179416,187395,19
"Bangor, ME","5,283","5,422","5,455","5,559","5,775","5,961",277
"Barnstable Town, MA",9599,10193,9970,10203,10741,11276,186
"Baton Rouge, LA","49,471","51,669","48,357","51,030","51,096","51,456",58
"Battle Creek, MI",5158,5350,5588,5607,5864,5997,275
"Bay City, MI","3,039","3,116","3,157","3,093","3,202","3,233",369
"Beaumont-Port Arthur, TX",21803,23334,23734,24363,24994,24875,103
"Beckley, WV","4,667","4,353","4,239","4,242","4,106","4,019",353
"Bellingham, WA",9521,9610,10047,9640,10049,10149,198
"Bend-Redmond, OR","6,064","6,421","6,882","7,588","8,459","9,364",213
"Billings, MT",8531,8762,8959,10058,10078,10014,200
"Binghamton, NY","9,008","9,032","9,119","9,098","9,223","9,369",212
"Birmingham-Hoover, AL",54417,57608,57699,58973,61063,62758,51
"Bismarck, ND","5,641","6,461","6,861","7,643","8,087","7,798",235
"Blacksburg-Christiansburg-Radford, VA",5660,6271,6335,6643,7066,7063,247
"Bloomington, IL","10,259","10,753","11,249","11,653","11,214","11,252",187
"Bloomington, IN",6412,6384,6192,6397,6654,6905,250
"Bloomsburg-Berwick, PA","3,334","3,430","3,604","3,599","3,856","3,941",355
"Boise City, ID",25311,26053,27715,29131,30423,31690,82
"Boston-Cambridge-Newton, MA-NH","339,857","355,585","365,048","381,049","406,002","422,660",9
"Boulder, CO",19760,20668,20974,22363,23212,23946,107
"Bowling Green, KY","5,575","5,957","6,288","6,465","6,774","7,192",245
"Bremerton-Silverdale, WA",9484,9456,9448,10006,10377,10663,191
"Bridgeport-Stamford-Norwalk, CT","85,401","90,441","92,545","95,748","99,421","102,401",37
"Brownsville-Harlingen, TX",8816,9149,9366,9654,10011,10462,196
"Brunswick, GA","3,500","3,435","3,505","3,575","3,758","4,114",347
"Buffalo-Cheektowaga-Niagara Falls, NY",50507,51596,52474,54412,56210,58062,55
"Burlington, NC","4,638","4,912","4,892","4,884","4,989","5,330",301
"Burlington-South Burlington, VT",11744,12204,12337,12695,13137,13648,167
"California-Lexington Park, MD","5,686","5,707","5,823","5,952","6,175","6,356",259
"Canton-Massillon, OH",13860,14713,15987,16849,16923,16343,146
"Cape Coral-Fort Myers, FL","20,723","21,261","21,860","23,613","25,437","27,301",94
"Cape Girardeau, MO-IL",3622,3737,3884,3999,4116,4172,344
"Carbondale-Marion, IL","4,606","4,954","4,782","4,850","4,916","5,195",308
"Carson City, NV",3023,3413,3229,3333,3160,3260,367
"Casper, WY","6,315","6,638","6,755","7,237","6,633","5,859",280
"Cedar Rapids, IA",15962,16185,16395,16977,17620,17577,137
"Chambersburg-Waynesboro, PA","4,520","4,594","4,948","5,122","5,251","5,310",302
"Champaign-Urbana, IL",10423,10979,11096,11478,11792,11992,182
"Charleston, WV","13,981","13,766","13,265","12,610","12,887","12,831",176
"Charleston-North Charleston, SC",30275,31556,32720,34769,36914,38776,73
"Charlotte-Concord-Gastonia, NC-SC","125,326","131,934","136,399","143,824","154,874","163,637",21
"Charlottesville, VA",10439,10958,11116,11806,12666,12851,175
"Chattanooga, TN-GA","21,744","22,883","23,144","23,637","24,825","25,495",100
"Cheyenne, WY",5280,5358,5533,5485,5521,5485,293
"Chicago-Naperville-Elgin, IL-IN-WI","547,626","578,016","585,948","608,723","635,054","651,222",3
"Chico, CA",6609,6517,7054,7067,7501,7817,234
"Cincinnati, OH-KY-IN","111,666","115,420","120,413","123,378","126,612","132,010",28
"Clarksville, TN-KY",10495,10551,10413,10433,10698,10661,192
"Cleveland, TN","3,472","3,839","3,912","4,116","4,284","4,278",340
"Cleveland-Elyria, OH",109886,114671,118335,123867,126721,129440,30
"Coeur d'Alene, ID","4,438","4,655","4,845","5,039","5,382","5,586",290
"College Station-Bryan, TX",7845,8260,8723,9313,9621,9520,209
"Colorado Springs, CO","27,721","28,397","28,799","28,779","29,766","31,376",83
"Columbia, MO",7231,7596,8128,8339,8661,8985,217
"Columbia, SC","32,674","33,370","34,762","36,766","39,001","40,086",70
"Columbus, GA-AL",12553,13047,13348,13493,13688,13760,165
"Columbus, IN","4,511","4,955","5,169","5,420","5,769","5,680",287
"Columbus, OH",101428,109268,113236,118340,125194,130758,29
"Corpus Christi, TX","20,818","22,199","24,254","24,379","23,223","22,403",112
"Corvallis, OR",5375,4787,4413,4356,4362,4559,334
"Crestview-Fort Walton Beach-Destin, FL","11,017","11,990","11,290","12,281","13,004","13,673",166
"Cumberland, MD-WV",2947,2996,3003,3053,3126,3204,370
"Dallas-Fort Worth-Arlington, TX","392,006","417,065","448,179","477,177","493,048","511,606",4
"Dalton, GA",5113,5281,5490,5741,5915,6173,266
"Danville, IL","2,804","2,825","2,868","2,866","2,766","2,750",377
"Daphne-Fairhope-Foley, AL",5433,5755,6443,6727,6672,6988,248
"Davenport-Moline-Rock Island, IA-IL","18,744","19,621","19,031","19,066","19,054","18,971",127
"Dayton, OH",34891,36117,36999,38418,39574,40572,68
"Decatur, AL","5,036","5,271","5,366","5,508","5,203","5,362",300
"Decatur, IL",5802,5833,5822,6200,6232,6129,270
"Deltona-Daytona Beach-Ormond Beach, FL","13,426","14,209","15,146","15,431","16,095","17,111",142
"Denver-Aurora-Lakewood, CO",159961,167491,173037,186338,190963,197969,18
"Des Moines-West Des Moines, IA","37,999","41,511","42,304","45,384","48,243","50,246",59
"Detroit-Warren-Dearborn, MI",206172,215614,220277,229327,243114,252691,13
"Dothan, AL","4,589","4,738","4,819","4,909","5,009","5,090",316
"Dover, DE",6092,6112,6314,6652,7098,7216,243
"Dubuque, IA","4,525","5,232","4,979","5,259","5,462","5,482",294
"Duluth, MN-WI",12236,12114,12465,12913,12541,12621,178
"Durham-Chapel Hill, NC","37,677","37,875","41,803","43,280","44,340","43,908",63
"East Stroudsburg, PA",5506,5463,5581,5560,5839,5995,276
"Eau Claire, WI","6,655","7,147","7,194","7,578","8,093","8,237",227
"El Centro, CA",5826,5613,5772,5682,5681,5720,285
"Elizabethtown-Fort Knox, KY","6,102","6,003","5,951","6,010","5,828","6,211",263
"Elkhart-Goshen, IN",9652,10916,11784,12989,14387,15515,154
"Elmira, NY","3,284","3,352","3,357","3,388","3,393","3,320",366
"El Paso, TX",25330,26479,26582,26645,27714,28644,90
"Enid, OK","2,721","3,006","3,256","3,555","3,202","3,123",371
"Erie, PA",10507,10467,10862,10883,11138,11151,189
"Eugene, OR","12,635","12,919","13,289","13,626","14,669","15,393",156
"Evansville, IN-KY",17512,17220,17081,17066,17110,16933,143
"Fairbanks, AK","5,368","5,500","5,178","5,344","5,405","5,400",297
"Fargo, ND-MN",11440,12730,13282,14266,14858,15497,155
"Farmington, NM","7,438","7,247","7,077","7,340","6,330","5,664",288
"Fayetteville, NC",17363,17268,17094,16794,16980,17320,140
"Fayetteville-Springdale-Rogers, AR-MO","19,906","20,732","22,397","23,759","25,316","26,764",97
"Flagstaff, AZ",5052,5012,5201,5307,5573,5797,282
"Flint, MI","11,891","12,100","12,369","12,571","13,296","13,838",164
