GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0100000US,,United States,0100000US,,United States,United States,308745538,308758105,309348193,311663358,313998379,316204908,318563456,320896618,323127513
0100000US,,United States,01000C0US,,United States - In metropolitan statistical area,In metropolitan statistical area,262512712,262525529,263106151,265421570,267809886,270070665,272468701,274828476,277079532
0100000US,,United States,310M300US10180,10180,"United States - Abilene, TX Metro Area","Abilene, TX Metro Area",165252,165252,165603,166651,167540,167609,168465,169893,170364
0100000US,,United States,310M300US10420,10420,"United States - Akron, OH Metro Area","Akron, OH Metro Area",703200,703203,703124,703115,702477,703433,704355,703358,702221
0100000US,,United States,310M300US10500,10500,"United States - Albany, GA Metro Area","Albany, GA Metro Area",157308,157500,157663,157814,157322,155953,155154,153508,152219
0100000US,,United States,310M300US10540,10540,"United States - Albany, OR Metro Area","Albany, OR Metro Area",116672,116672,116888,118127,118332,118496,119188,120444,122849
0100000US,,United States,310M300US10580,10580,"United States - Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy, NY Metro Area",870716,870692,871103,873214,875637,878401,879775,880803,881839
0100000US,,United States,310M300US10740,10740,"United States - Albuquerque, NM Metro Area","Albuquerque, NM Metro Area",887077,887080,889639,896818,900781,902911,903658,905174,909906
0100000US,,United States,310M300US10780,10780,"United States - Alexandria, LA Metro Area","Alexandria, LA Metro Area",153922,153922,154136,154426,154588,154828,154861,154662,154789
0100000US,,United States,310M300US10900,10900,"United States - Allentown-Bethlehem-Easton, PA-NJ Metro Area","Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821266,822129,825160,827294,827238,830452,833049,835652
0100000US,,United States,310M300US11020,11020,"United States - Altoona, PA Metro Area","Altoona, PA Metro Area",127089,127076,127053,127178,126991,126419,126019,125506,124650
0100000US,,United States,310M300US11100,11100,"United States - Amarillo, TX Metro Area","Amarillo, TX Metro Area",251933,251933,252722,256008,257784,258952,260858,261613,263342
0100000US,,United States,310M300US11180,11180,"United States - Ames, IA Metro Area","Ames, IA Metro Area",89542,89542,89634,90864,91799,93569,95366,96346,97090
0100000US,,United States,310M300US11260,11260,"United States - Anchorage, AK Metro Area","Anchorage, AK Metro Area",380821,380821,383181,388228,392318,397066,398625,399432,402557
0100000US,,United States,310M300US11460,11460,"United States - Ann Arbor, MI Metro Area","Ann Arbor, MI Metro Area",344791,345066,345568,349071,351299,354573,358980,360847,364709
0100000US,,United States,310M300US11500,11500,"United States - Anniston-Oxford-Jacksonville, AL Metro Area","Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,118468,117736,117208,116475,115837,115285,114611
0100000US,,United States,310M300US11540,11540,"United States - Appleton, WI Metro Area","Appleton, WI Metro Area",225666,225666,225937,227502,228669,229935,231525,233056,234079
0100000US,,United States,310M300US11700,11700,"United States - Asheville, NC Metro Area","Asheville, NC Metro Area",424858,424853,425461,428403,431888,437020,441258,446138,452319
0100000US,,United States,310M300US12020,12020,"United States - Athens-Clarke County, GA Metro Area","Athens-Clarke County, GA Metro Area",192541,192541,193450,194634,196370,197793,198787,202822,205290
0100000US,,United States,310M300US12060,12060,"United States - Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5286725,5303929,5373558,5452145,5517230,5605765,5699050,5789700
0100000US,,United States,310M300US12100,12100,"United States - Atlantic City-Hammonton, NJ Metro Area","Atlantic City-Hammonton, NJ Metro Area",274549,274540,274757,275017,275604,275784,274715,273035,270991
0100000US,,United States,310M300US12220,12220,"United States - Auburn-Opelika, AL Metro Area","Auburn-Opelika, AL Metro Area",140247,140296,140804,144123,148289,151411,154277,156767,158991
0100000US,,United States,310M300US12260,12260,"United States - Augusta-Richmond County, GA-SC Metro Area","Augusta-Richmond County, GA-SC Metro Area",564873,564873,566569,570925,576549,579840,583462,590047,594919
0100000US,,United States,310M300US12420,12420,"United States - Austin-Round Rock, TX Metro Area","Austin-Round Rock, TX Metro Area",1716289,1716320,1727656,1780819,1834319,1882856,1941389,1998104,2056405
0100000US,,United States,310M300US12540,12540,"United States - Bakersfield, CA Metro Area","Bakersfield, CA Metro Area",839631,839627,841676,849484,855808,864454,872138,879497,884788
0100000US,,United States,310M300US12580,12580,"United States - Baltimore-Columbia-Towson, MD Metro Area","Baltimore-Columbia-Towson, MD Metro Area",2710489,2710583,2715705,2735170,2755622,2771765,2784254,2793837,2798886
0100000US,,United States,310M300US12620,12620,"United States - Bangor, ME Metro Area","Bangor, ME Metro Area",153923,153920,153872,153814,153589,153518,153500,152478,151806
0100000US,,United States,310M300US12700,12700,"United States - Barnstable Town, MA Metro Area","Barnstable Town, MA Metro Area",215888,215868,215908,215372,214915,214844,214858,214621,214276
0100000US,,United States,310M300US12940,12940,"United States - Baton Rouge, LA Metro Area","Baton Rouge, LA Metro Area",802484,802500,804311,808397,813756,819507,825155,829741,835175
0100000US,,United States,310M300US12980,12980,"United States - Battle Creek, MI Metro Area","Battle Creek, MI Metro Area",136146,136148,136025,135245,134777,134869,134976,134447,134386
0100000US,,United States,310M300US13020,13020,"United States - Bay City, MI Metro Area","Bay City, MI Metro Area",107771,107771,107688,107498,107091,106910,106232,105557,104747
0100000US,,United States,310M300US13140,13140,"United States - Beaumont-Port Arthur, TX Metro Area","Beaumont-Port Arthur, TX Metro Area",403190,403194,403704,405226,403668,405225,405407,408261,409968
0100000US,,United States,310M300US13220,13220,"United States - Beckley, WV Metro Area","Beckley, WV Metro Area",124898,124901,124900,125203,125140,124414,123480,122255,120924
0100000US,,United States,310M300US13380,13380,"United States - Bellingham, WA Metro Area","Bellingham, WA Metro Area",201140,201140,201586,203482,205008,206348,208325,212164,216800
0100000US,,United States,310M300US13460,13460,"United States - Bend-Redmond, OR Metro Area","Bend-Redmond, OR Metro Area",157733,157733,157839,159775,161765,165859,170193,174942,181307
0100000US,,United States,310M300US13740,13740,"United States - Billings, MT Metro Area","Billings, MT Metro Area",158934,158934,159358,160768,162853,165155,166739,168164,169728
0100000US,,United States,310M300US13780,13780,"United States - Binghamton, NY Metro Area","Binghamton, NY Metro Area",251725,251737,251469,250404,249219,248498,247462,245879,244094
0100000US,,United States,310M300US13820,13820,"United States - Birmingham-Hoover, AL Metro Area","Birmingham-Hoover, AL Metro Area",1128047,1128056,1128937,1130857,1133917,1138578,1141775,1144857,1147417
0100000US,,United States,310M300US13900,13900,"United States - Bismarck, ND Metro Area","Bismarck, ND Metro Area",114778,114778,115277,117384,120254,124035,126754,129717,131635
0100000US,,United States,310M300US13980,13980,"United States - Blacksburg-Christiansburg-Radford, VA Metro Area","Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178257,178523,178893,179560,180875,181429,181701,182876
0100000US,,United States,310M300US14010,14010,"United States - Bloomington, IL Metro Area","Bloomington, IL Metro Area",186133,186133,186445,187336,189057,191162,190086,188933,188644
0100000US,,United States,310M300US14020,14020,"United States - Bloomington, IN Metro Area","Bloomington, IN Metro Area",159549,159542,160140,161712,162673,163110,164466,165066,166336
0100000US,,United States,310M300US14100,14100,"United States - Bloomsburg-Berwick, PA Metro Area","Bloomsburg-Berwick, PA Metro Area",85562,85563,85671,85289,85342,85463,85366,84944,84763
0100000US,,United States,310M300US14260,14260,"United States - Boise City, ID Metro Area","Boise City, ID Metro Area",616561,616561,618025,627610,637527,649653,664024,675777,691423
