year,total_app,nber11_inforce,nber12_inforce,nber13_inforce,nber14_inforce,nber15_inforce,nber19_inforce,nber21_inforce,nber22_inforce,nber23_inforce,nber24_inforce,nber25_inforce,nber31_inforce,nber32_inforce,nber33_inforce,nber39_inforce,nber41_inforce,nber42_inforce,nber43_inforce,nber44_inforce,nber45_inforce,nber46_inforce,nber49_inforce,nber51_inforce,nber52_inforce,nber53_inforce,nber54_inforce,nber55_inforce,nber59_inforce,nber61_inforce,nber62_inforce,nber63_inforce,nber64_inforce,nber65_inforce,nber66_inforce,nber67_inforce,nber68_inforce,nber69_inforce,nber70_inforce,nber80_inforce,nber1_inforce,nber2_inforce,nber3_inforce,nber4_inforce,nber5_inforce,nber6_inforce,nber7_inforce,nber8_inforce,total_inforce,nber11_inforce_max,nber12_inforce_max,nber13_inforce_max,nber14_inforce_max,nber15_inforce_max,nber19_inforce_max,nber21_inforce_max,nber22_inforce_max,nber23_inforce_max,nber24_inforce_max,nber25_inforce_max,nber31_inforce_max,nber32_inforce_max,nber33_inforce_max,nber39_inforce_max,nber41_inforce_max,nber42_inforce_max,nber43_inforce_max,nber44_inforce_max,nber45_inforce_max,nber46_inforce_max,nber49_inforce_max,nber51_inforce_max,nber52_inforce_max,nber53_inforce_max,nber54_inforce_max,nber55_inforce_max,nber59_inforce_max,nber61_inforce_max,nber62_inforce_max,nber63_inforce_max,nber64_inforce_max,nber65_inforce_max,nber66_inforce_max,nber67_inforce_max,nber68_inforce_max,nber69_inforce_max,nber70_inforce_max,nber80_inforce_max,nber1_inforce_max,nber2_inforce_max,nber3_inforce_max,nber4_inforce_max,nber5_inforce_max,nber6_inforce_max,nber7_inforce_max,nber8_inforce_max,total_inforce_max,nber11_iss,nber12_iss,nber13_iss,nber14_iss,nber15_iss,nber19_iss,nber21_iss,nber22_iss,nber23_iss,nber24_iss,nber25_iss,nber31_iss,nber32_iss,nber33_iss,nber39_iss,nber41_iss,nber42_iss,nber43_iss,nber44_iss,nber45_iss,nber46_iss,nber49_iss,nber51_iss,nber52_iss,nber53_iss,nber54_iss,nber55_iss,nber59_iss,nber61_iss,nber62_iss,nber63_iss,nber64_iss,nber65_iss,nber66_iss,nber67_iss,nber68_iss,nber69_iss,nber70_iss,nber80_iss,nber1_iss,nber2_iss,nber3_iss,nber4_iss,nber5_iss,nber6_iss,nber7_iss,nber8_iss,total_iss
1840,735,114,64,23,6,3,217,2,1,0,32,0,15,47,0,11,1,9,11,0,32,0,0,596,135,242,0,228,336,323,1,345,185,147,435,19,16,423,0,0,427,35,73,53,1537,1894,0,0,4019,114,64,23,6,3,217,2,1,0,32,0,15,47,0,11,1,9,11,0,32,0,0,596,135,242,0,228,336,323,1,345,185,147,435,19,16,423,0,0,427,35,73,53,1537,1894,0,0,4019,15,8,5,1,0,24,2,1,0,0,0,0,5,0,4,0,0,2,0,3,0,0,69,11,23,0,36,40,30,0,28,13,19,57,2,3,60,0,0,53,3,9,5,179,212,0,0,461
1841,847,129,70,26,6,3,236,2,1,0,29,0,16,52,0,13,3,10,13,0,36,0,0,650,151,281,0,259,386,359,1,371,193,156,484,23,17,474,0,0,470,32,81,62,1727,2078,0,0,4450,129,70,26,6,3,236,2,1,0,29,0,16,52,0,13,3,10,13,0,36,0,0,650,151,281,0,259,386,359,1,371,193,156,484,23,17,474,0,0,470,32,81,62,1727,2078,0,0,4450,17,6,4,0,0,22,0,0,0,0,0,1,5,0,2,2,1,2,0,4,0,0,71,18,39,0,32,52,40,0,34,13,11,52,4,1,58,0,0,49,0,8,9,212,213,0,0,491
1842,761,144,79,35,10,5,251,2,2,0,27,0,18,57,0,13,3,11,16,0,40,0,0,702,159,321,0,273,414,386,1,399,211,174,542,28,17,528,0,0,524,31,88,70,1869,2286,0,0,4868,144,79,35,10,5,251,2,2,0,27,0,18,57,0,13,3,11,16,0,40,0,0,702,159,321,0,273,414,386,1,399,211,174,542,28,17,528,0,0,524,31,88,70,1869,2286,0,0,4868,16,9,9,4,2,24,0,1,0,1,0,2,5,0,1,0,1,3,0,7,0,0,64,9,44,0,18,34,32,0,39,24,21,60,5,0,59,0,0,64,2,8,11,169,240,0,0,494
1843,819,156,84,36,11,7,273,2,3,0,25,0,19,66,0,14,3,11,17,0,40,0,0,752,177,337,0,288,447,430,1,416,227,189,592,30,18,577,0,0,567,30,99,71,2001,2480,0,0,5248,156,84,36,11,7,273,2,3,0,25,0,19,66,0,14,3,11,17,0,40,0,0,752,177,337,0,288,447,430,1,416,227,189,592,30,18,577,0,0,567,30,99,71,2001,2480,0,0,5248,18,5,1,1,2,29,0,1,0,0,0,1,9,0,1,0,0,1,0,2,0,0,68,21,21,0,23,43,48,0,32,21,19,58,3,1,68,0,0,56,1,11,3,176,250,0,0,497
1844,1045,167,89,36,13,9,300,2,3,0,23,0,21,74,0,15,3,12,18,0,42,0,0,808,192,353,0,301,474,458,1,436,238,193,643,31,21,619,0,0,614,28,110,75,2128,2640,0,0,5595,167,89,36,13,9,300,2,3,0,23,0,21,74,0,15,3,12,18,0,42,0,0,808,192,353,0,301,474,458,1,436,238,193,643,31,21,619,0,0,614,28,110,75,2128,2640,0,0,5595,16,7,1,2,2,38,0,0,0,0,0,2,10,0,1,0,1,1,0,2,0,0,72,21,22,0,20,32,40,0,41,22,12,59,1,3,50,0,0,66,0,13,4,167,228,0,0,478
1845,1246,188,94,41,14,10,319,3,3,0,20,0,24,80,0,17,3,12,19,0,41,0,0,859,199,360,1,315,501,465,2,456,246,195,677,33,22,659,0,0,666,26,121,75,2235,2755,0,0,5878,188,94,41,14,10,319,3,3,0,20,0,24,80,0,17,3,12,19,0,41,0,0,859,199,360,1,315,501,465,2,456,246,195,677,33,22,659,0,0,666,26,121,75,2235,2755,0,0,5878,21,5,5,1,1,31,1,0,0,0,0,4,7,0,2,0,0,1,0,2,0,0,69,16,25,1,24,37,27,1,41,17,17,55,2,2,60,0,0,64,1,13,3,172,222,0,0,475
1846,1272,201,102,44,16,11,337,6,3,0,19,0,26,90,0,19,4,12,19,0,40,0,0,897,213,394,1,337,533,506,2,489,259,214,740,33,24,710,0,0,711,28,135,75,2375,2977,0,0,6301,201,102,44,16,11,337,6,3,0,19,0,26,90,0,19,4,12,19,0,40,0,0,897,213,394,1,337,533,506,2,489,259,214,740,33,24,710,0,0,711,28,135,75,2375,2977,0,0,6301,16,11,3,3,1,33,3,0,0,0,0,2,11,0,2,1,1,0,0,1,0,0,67,19,40,0,24,43,48,0,47,22,24,76,0,2,68,0,0,67,3,15,3,193,287,0,0,568
1847,1531,216,105,47,17,14,354,6,3,0,14,0,25,95,0,21,4,10,20,0,44,0,0,919,225,415,1,357,568,528,3,502,267,229,756,35,24,736,0,0,753,23,141,78,2485,3080,0,0,6560,216,105,47,17,14,354,6,3,0,14,0,25,95,0,21,4,10,20,0,44,0,0,919,225,415,1,357,568,528,3,502,267,229,756,35,24,736,0,0,753,23,141,78,2485,3080,0,0,6560,20,6,4,1,3,26,0,0,0,0,0,2,9,0,2,0,0,1,0,5,0,0,58,23,33,0,37,52,36,1,30,22,20,40,5,2,57,0,0,60,0,13,6,203,213,0,0,495
1848,1628,218,116,50,17,15,382,9,3,0,8,0,26,94,0,24,6,12,20,0,48,0,0,957,246,420,1,368,601,538,4,508,281,249,774,36,24,779,0,0,798,20,144,86,2593,3193,0,0,6834,218,116,50,17,15,382,9,3,0,8,0,26,94,0,24,6,12,20,0,48,0,0,957,246,420,1,368,601,538,4,508,281,249,774,36,24,779,0,0,798,20,144,86,2593,3193,0,0,6834,10,12,3,0,1,39,3,0,0,0,0,1,6,0,3,2,3,1,0,6,0,0,87,33,27,0,26,64,40,1,38,24,30,51,3,1,68,0,0,65,3,10,12,237,256,0,0,583
1849,1955,241,116,52,17,16,423,14,8,0,7,0,23,103,0,32,8,15,21,0,48,0,0,1017,287,443,1,402,677,563,4,553,303,293,802,41,29,839,0,0,865,29,158,92,2827,3427,0,0,7398,241,116,52,17,16,423,14,8,0,7,0,23,103,0,32,8,15,21,0,48,0,0,1017,287,443,1,402,677,563,4,553,303,293,802,41,29,839,0,0,865,29,158,92,2827,3427,0,0,7398,32,7,6,1,2,55,5,5,0,0,0,0,14,0,8,2,3,2,0,7,0,0,136,48,45,0,63,102,73,0,81,40,57,77,6,7,101,0,0,103,10,22,14,394,442,0,0,985
